donor_id,tanggal_terakhir_donasi,tanggal_pertama_donasi,frekuensi,total_nominal,recency_hari,skor_R,skor_F,skor_M,skor_gabungan_ahp,segmentasi
G14468,2022-04-22 17:33:00,2021-01-10 11:11:00,12,1200000,984,3,5,5,4.2,Tidur
G14471,2021-01-10 17:05:00,2021-01-10 17:05:00,1,20000,1451,2,1,1,1.4,Hilang
G14472,2021-09-10 19:09:00,2021-01-10 18:51:00,2,300528,1208,2,4,5,3.45,Tidur
G14474,2021-01-10 19:39:00,2021-01-10 19:39:00,1,15000,1451,2,1,1,1.4,Hilang
G14475,2021-01-11 04:02:00,2021-01-11 04:02:00,1,10000,1450,2,1,1,1.4,Hilang
G14476,2021-01-11 05:20:00,2021-01-11 05:20:00,1,40000,1450,2,1,2,1.65,Hilang
G14477,2021-01-11 05:32:00,2021-01-11 05:32:00,1,50000,1450,2,1,2,1.65,Hilang
G14479,2021-01-11 14:33:00,2021-01-11 14:33:00,1,10901,1450,2,1,1,1.4,Hilang
G14484,2021-01-11 20:01:00,2021-01-11 20:01:00,1,30000,1450,2,1,2,1.65,Hilang
G14485,2021-04-08 08:04:00,2021-01-11 22:46:00,2,150000,1363,2,4,4,3.2,Tidur
G14486,2021-01-12 00:01:00,2021-01-12 00:01:00,1,200408,1449,2,1,4,2.15,Tidur
G14490,2021-01-12 17:44:00,2021-01-12 17:44:00,1,200000,1449,2,1,4,2.15,Tidur
G14491,2021-03-14 16:32:00,2021-03-14 16:32:00,1,450000,1388,2,1,5,2.4,Tidur
G14492,2021-01-12 23:35:00,2021-01-12 23:35:00,1,100000,1449,2,1,3,1.9,Tidur
G14499,2021-01-14 11:36:00,2021-01-14 11:36:00,1,50000,1447,2,1,2,1.65,Hilang
G14500,2021-01-14 12:08:00,2021-01-14 12:08:00,1,200067,1447,2,1,4,2.15,Tidur
G14501,2021-01-14 14:34:00,2021-01-14 14:34:00,1,400000,1447,2,1,5,2.4,Tidur
G14503,2021-01-14 20:12:00,2021-01-14 20:12:00,1,2000,1447,2,1,1,1.4,Hilang
G14504,2021-01-14 21:26:00,2021-01-14 21:26:00,1,10000,1447,2,1,1,1.4,Hilang
G14505,2021-01-14 21:54:00,2021-01-14 21:54:00,1,10000,1447,2,1,1,1.4,Hilang
G14506,2021-01-14 22:56:00,2021-01-14 22:56:00,1,50000,1447,2,1,2,1.65,Hilang
G14507,2021-01-14 23:47:00,2021-01-14 23:47:00,1,10000,1447,2,1,1,1.4,Hilang
G14508,2021-01-15 00:22:00,2021-01-15 00:22:00,1,10000,1446,2,1,1,1.4,Hilang
G14509,2021-01-15 04:31:00,2021-01-15 04:31:00,1,20000,1446,2,1,1,1.4,Hilang
G14510,2021-01-15 05:17:00,2021-01-15 05:17:00,1,1962,1446,2,1,1,1.4,Hilang
G14511,2021-04-20 04:49:00,2021-01-15 05:24:00,71,388001,1351,2,5,5,3.8,Tidur
G14512,2021-01-15 05:39:00,2021-01-15 05:39:00,1,25000,1446,2,1,2,1.65,Hilang
G14513,2021-01-15 05:47:00,2021-01-15 05:47:00,1,10000,1446,2,1,1,1.4,Hilang
G14514,2021-01-15 05:50:00,2021-01-15 05:50:00,1,25000,1446,2,1,2,1.65,Hilang
G14516,2024-01-03 01:03:00,2021-01-15 06:25:00,6,109000,363,5,5,4,4.75,Tidur
G14517,2024-05-21 06:42:00,2021-01-15 10:37:00,4,900000,224,5,5,5,5.0,Tidur
G14518,2022-10-28 09:27:00,2021-01-15 10:52:00,3,400000,795,3,5,5,4.2,Tidur
G14519,2021-01-15 11:07:00,2021-01-15 11:07:00,1,100000,1446,2,1,3,1.9,Tidur
G14520,2022-07-08 06:09:00,2021-01-15 11:29:00,9,240000,907,3,5,4,3.95,Tidur
G14521,2021-01-15 12:03:00,2021-01-15 12:03:00,1,10000,1446,2,1,1,1.4,Hilang
G14522,2024-09-27 14:50:00,2021-01-15 12:16:00,2,125000,95,5,4,4,4.4,Tidur
G14523,2021-01-15 13:04:00,2021-01-15 13:04:00,1,30000,1446,2,1,2,1.65,Hilang
G14525,2021-01-15 16:24:00,2021-01-15 16:24:00,1,200000,1446,2,1,4,2.15,Tidur
G14527,2021-01-15 19:22:00,2021-01-15 19:22:00,1,10000,1446,2,1,1,1.4,Hilang
G14528,2021-01-15 20:58:00,2021-01-15 20:58:00,1,10000,1446,2,1,1,1.4,Hilang
G14530,2023-11-27 10:36:00,2021-01-15 23:08:00,5,155000,400,4,5,4,4.35,Tidur
G14531,2021-05-28 15:50:00,2021-01-15 23:24:00,11,1255000,1313,2,5,5,3.8,Tidur
G14532,2021-10-15 11:59:00,2021-01-15 23:36:00,11,2000000,1173,2,5,5,3.8,Tidur
G14533,2021-01-16 01:31:00,2021-01-16 01:31:00,1,20000,1445,2,1,1,1.4,Hilang
G14534,2021-01-16 04:45:00,2021-01-16 04:45:00,1,10000,1445,2,1,1,1.4,Hilang
G14536,2021-01-16 08:24:00,2021-01-16 08:24:00,1,100000,1445,2,1,3,1.9,Tidur
G14537,2021-01-16 16:12:00,2021-01-16 16:12:00,1,200000,1445,2,1,4,2.15,Tidur
G14539,2021-01-16 20:27:00,2021-01-16 20:27:00,1,18000,1445,2,1,1,1.4,Hilang
G14540,2021-01-16 20:37:00,2021-01-16 20:37:00,1,150000,1445,2,1,4,2.15,Tidur
G14541,2021-02-02 07:06:00,2021-02-02 07:06:00,1,243200,1428,2,1,4,2.15,Tidur
G14542,2021-02-12 22:16:00,2021-01-16 22:23:00,2,45000,1418,2,4,2,2.7,Kategori Lain
G14543,2021-01-16 22:37:00,2021-01-16 22:37:00,1,100000,1445,2,1,3,1.9,Tidur
G14544,2021-01-16 23:44:00,2021-01-16 23:44:00,1,50000,1445,2,1,2,1.65,Hilang
G14545,2021-01-17 05:13:00,2021-01-17 05:13:00,1,10000,1444,2,1,1,1.4,Hilang
G14546,2023-11-25 05:45:00,2023-11-25 05:45:00,1,10000,402,4,1,1,2.2,Hilang
G14548,2021-01-17 11:54:00,2021-01-17 11:54:00,1,20608,1444,2,1,2,1.65,Hilang
G14550,2021-01-17 14:16:00,2021-01-17 14:16:00,1,100000,1444,2,1,3,1.9,Tidur
G14551,2021-01-17 16:10:00,2021-01-17 16:10:00,1,10000,1444,2,1,1,1.4,Hilang
G14552,2022-09-22 13:50:00,2021-01-17 16:48:00,2,40000,831,3,4,2,3.1,Kategori Lain
G14553,2021-01-17 17:05:00,2021-01-17 17:05:00,1,10000,1444,2,1,1,1.4,Hilang
G14554,2021-01-17 17:16:00,2021-01-17 17:16:00,1,50000,1444,2,1,2,1.65,Hilang
G14558,2021-01-18 12:11:00,2021-01-18 12:11:00,1,300062,1443,2,1,5,2.4,Tidur
G14559,2021-01-29 21:06:00,2021-01-29 21:06:00,1,50000,1432,2,1,2,1.65,Hilang
G14560,2022-04-23 18:50:00,2021-01-29 09:01:00,11,450000,983,3,5,5,4.2,Tidur
G14561,2021-01-18 19:44:00,2021-01-18 19:44:00,1,10000,1443,2,1,1,1.4,Hilang
G14562,2024-09-27 10:15:00,2021-01-19 05:57:00,6,512000,95,5,5,5,5.0,Tidur
G14565,2021-01-19 07:34:00,2021-01-19 07:34:00,1,200000,1442,2,1,4,2.15,Tidur
G14566,2021-01-19 08:25:00,2021-01-19 08:25:00,1,10000,1442,2,1,1,1.4,Hilang
G14569,2021-01-19 12:26:00,2021-01-19 12:26:00,1,20000,1442,2,1,1,1.4,Hilang
G14570,2021-01-19 18:25:00,2021-01-19 18:25:00,1,10000,1442,2,1,1,1.4,Hilang
G14571,2021-01-19 19:57:00,2021-01-19 19:57:00,1,150000,1442,2,1,4,2.15,Tidur
G14572,2021-01-19 20:19:00,2021-01-19 20:19:00,1,100000,1442,2,1,3,1.9,Tidur
G14574,2021-01-30 05:30:00,2021-01-21 04:40:00,2,75000,1431,2,4,3,2.95,Kategori Lain
G14577,2021-01-22 05:05:00,2021-01-22 05:05:00,1,100000,1439,2,1,3,1.9,Tidur
G14578,2021-01-25 09:52:00,2021-01-22 05:09:00,3,26000,1436,2,5,2,3.05,Kategori Lain
G14579,2021-05-07 20:16:00,2021-01-22 07:52:00,5,100000,1334,2,5,3,3.3,Tidur
G14582,2024-12-30 18:26:00,2021-01-22 13:36:00,26,1080000,1,5,5,5,5.0,Mulai Aktif
G14583,2021-01-22 13:54:00,2021-01-22 13:54:00,1,100000,1439,2,1,3,1.9,Tidur
G14585,2021-01-22 16:37:00,2021-01-22 16:37:00,1,20000,1439,2,1,1,1.4,Hilang
G14586,2021-01-22 18:00:00,2021-01-22 18:00:00,1,100004,1439,2,1,4,2.15,Tidur
G14587,2021-01-22 18:02:00,2021-01-22 18:02:00,1,10000,1439,2,1,1,1.4,Hilang
G14588,2021-01-22 20:23:00,2021-01-22 20:23:00,1,100000,1439,2,1,3,1.9,Tidur
G14592,2022-09-10 18:04:00,2021-01-23 00:26:00,2,400000,843,3,4,5,3.85,Tidur
G14593,2021-01-23 05:41:00,2021-01-23 05:41:00,1,100000,1438,2,1,3,1.9,Tidur
G14594,2021-01-23 09:47:00,2021-01-23 09:47:00,1,10000,1438,2,1,1,1.4,Hilang
G14596,2021-01-23 16:35:00,2021-01-23 16:35:00,1,15000,1438,2,1,1,1.4,Hilang
G14597,2021-01-23 17:10:00,2021-01-23 17:10:00,1,10000,1438,2,1,1,1.4,Hilang
G14598,2021-01-23 21:16:00,2021-01-23 21:16:00,1,100000,1438,2,1,3,1.9,Tidur
G14599,2021-02-14 04:53:00,2021-01-28 04:45:00,7,69000,1416,2,5,3,3.3,Kategori Lain
G14600,2021-01-24 06:44:00,2021-01-24 06:44:00,1,10000,1437,2,1,1,1.4,Hilang
G14602,2024-11-22 12:26:00,2021-01-24 20:37:00,23,5000000,39,5,5,5,5.0,Mulai Aktif
G14603,2021-01-25 11:01:00,2021-01-25 11:01:00,1,10000,1436,2,1,1,1.4,Hilang
G14604,2022-03-04 12:15:00,2021-01-25 11:24:00,4,414400,1033,3,5,5,4.2,Tidur
G14605,2022-04-05 20:21:00,2021-01-25 15:39:00,7,438620,1001,3,5,5,4.2,Tidur
G14607,2021-01-25 16:12:00,2021-01-25 16:12:00,1,100000,1436,2,1,3,1.9,Tidur
G14609,2021-01-25 20:57:00,2021-01-25 20:57:00,1,100000,1436,2,1,3,1.9,Tidur
G14611,2021-01-26 04:59:00,2021-01-26 04:59:00,1,65000,1435,2,1,3,1.9,Hilang
G14619,2023-07-23 22:12:00,2021-01-26 18:22:00,8,520000,527,4,5,5,4.6,Tidur
G14620,2021-02-21 04:52:00,2021-01-26 18:59:00,10,1000000,1409,2,5,5,3.8,Tidur
G14621,2024-07-02 15:57:00,2024-07-02 15:57:00,1,100000,182,5,1,3,3.1,Tidur
G14622,2021-01-26 21:54:00,2021-01-26 21:54:00,1,200000,1435,2,1,4,2.15,Tidur
G14623,2021-01-27 04:06:00,2021-01-27 04:06:00,1,200000,1434,2,1,4,2.15,Tidur
G14624,2021-01-27 05:46:00,2021-01-27 05:46:00,1,10000,1434,2,1,1,1.4,Hilang
G14625,2021-05-10 21:58:00,2021-01-27 10:55:00,5,300000,1331,2,5,5,3.8,Tidur
G14626,2021-01-27 12:05:00,2021-01-27 12:05:00,1,11000,1434,2,1,1,1.4,Hilang
G14628,2021-01-27 12:58:00,2021-01-27 12:55:00,2,500000,1434,2,4,5,3.45,Tidur
G14633,2021-01-28 09:31:00,2021-01-28 09:31:00,1,200000,1433,2,1,4,2.15,Tidur
G14634,2021-01-28 14:34:00,2021-01-28 14:34:00,1,20000,1433,2,1,1,1.4,Hilang
G14635,2021-01-28 14:40:00,2021-01-28 14:40:00,1,100000,1433,2,1,3,1.9,Tidur
G14637,2021-01-28 17:35:00,2021-01-28 17:35:00,1,20000,1433,2,1,1,1.4,Hilang
G14639,2021-01-28 22:51:00,2021-01-28 22:51:00,1,100000,1433,2,1,3,1.9,Tidur
G14641,2021-01-29 04:51:00,2021-01-29 04:51:00,1,150000,1432,2,1,4,2.15,Tidur
G14642,2021-01-29 06:07:00,2021-01-29 06:07:00,1,50000,1432,2,1,2,1.65,Hilang
G14643,2021-07-02 14:31:00,2021-01-29 06:37:00,3,500000,1278,2,5,5,3.8,Tidur
G14644,2024-08-26 20:06:00,2021-01-29 06:39:00,26,4790000,127,5,5,5,5.0,Tidur
G14647,2021-01-29 11:10:00,2021-01-29 09:41:00,2,200000,1432,2,4,4,3.2,Tidur
G14649,2021-01-29 10:44:00,2021-01-29 10:44:00,1,100000,1432,2,1,3,1.9,Tidur
G14650,2022-08-30 07:24:00,2021-01-29 11:16:00,5,405000,854,3,5,5,4.2,Tidur
G14651,2021-01-29 11:20:00,2021-01-29 11:20:00,1,50000,1432,2,1,2,1.65,Hilang
G14652,2022-05-26 18:49:00,2021-01-29 13:29:00,9,1230000,950,3,5,5,4.2,Tidur
G14656,2021-01-29 15:20:00,2021-01-29 15:20:00,1,120000,1432,2,1,4,2.15,Tidur
G14657,2022-10-28 09:59:00,2021-02-12 15:25:00,3,182500,795,3,5,4,3.95,Tidur
G14658,2021-01-29 15:58:00,2021-01-29 15:58:00,1,25000,1432,2,1,2,1.65,Hilang
G14659,2021-01-29 18:25:00,2021-01-29 18:25:00,1,250000,1432,2,1,4,2.15,Tidur
G14660,2021-01-29 21:16:00,2021-01-29 21:16:00,1,300000,1432,2,1,5,2.4,Tidur
G14661,2021-01-30 04:42:00,2021-01-30 04:42:00,1,10000,1431,2,1,1,1.4,Hilang
G14666,2021-01-30 20:25:00,2021-01-30 20:25:00,1,50000,1431,2,1,2,1.65,Hilang
G14667,2021-02-05 12:33:00,2021-02-05 12:33:00,1,400000,1425,2,1,5,2.4,Tidur
G14669,2021-10-22 09:55:00,2021-01-31 09:31:00,5,190000,1166,2,5,4,3.55,Tidur
G14671,2021-01-31 19:39:00,2021-01-31 19:39:00,1,300000,1430,2,1,5,2.4,Tidur
G14672,2024-11-10 21:40:00,2021-02-28 18:41:00,27,7557500,51,5,5,5,5.0,Mulai Aktif
G14673,2022-12-29 04:17:00,2021-02-01 05:08:00,5,320000,733,3,5,5,4.2,Tidur
G14676,2021-04-05 17:52:00,2021-02-02 11:35:00,2,150000,1366,2,4,4,3.2,Tidur
G14679,2021-10-15 04:48:00,2021-10-15 04:48:00,1,45000,1173,2,1,2,1.65,Hilang
G14681,2021-03-02 05:28:00,2021-02-03 07:22:00,2,500000,1400,2,4,5,3.45,Tidur
G14682,2021-02-03 13:40:00,2021-02-03 13:40:00,1,200000,1427,2,1,4,2.15,Tidur
G14683,2022-07-22 11:11:00,2021-02-03 12:07:00,2,70000,893,3,4,3,3.35,Kategori Lain
G14684,2021-02-03 12:24:00,2021-02-03 12:24:00,1,75000,1427,2,1,3,1.9,Hilang
G14685,2021-02-03 12:26:00,2021-02-03 12:26:00,1,100000,1427,2,1,3,1.9,Tidur
G14686,2022-09-27 09:54:00,2021-02-03 14:07:00,21,572000,826,3,5,5,4.2,Tidur
G14687,2021-02-03 15:23:00,2021-02-03 15:23:00,1,200000,1427,2,1,4,2.15,Tidur
G14692,2021-09-01 10:17:00,2021-02-04 09:56:00,6,786000,1217,2,5,5,3.8,Tidur
G14693,2021-02-26 21:19:00,2021-02-04 10:29:00,2,110000,1404,2,4,4,3.2,Tidur
G14694,2022-10-14 12:13:00,2021-02-04 13:42:00,3,400000,809,3,5,5,4.2,Tidur
G14696,2021-02-26 06:08:00,2021-02-04 21:14:00,2,325000,1404,2,4,5,3.45,Tidur
G14697,2021-02-04 21:18:00,2021-02-04 21:18:00,1,100000,1426,2,1,3,1.9,Tidur
G14698,2021-02-04 21:32:00,2021-02-04 21:32:00,1,200000,1426,2,1,4,2.15,Tidur
G14699,2021-02-04 23:32:00,2021-02-04 23:32:00,1,200000,1426,2,1,4,2.15,Tidur
G14700,2021-02-05 04:42:00,2021-02-05 04:42:00,1,100000,1425,2,1,3,1.9,Tidur
G14701,2021-02-05 05:48:00,2021-02-05 05:48:00,1,25000,1425,2,1,2,1.65,Hilang
G14704,2022-11-18 09:02:00,2021-02-05 08:29:00,3,95000,774,3,5,3,3.7,Kategori Lain
G14705,2022-04-15 21:55:00,2022-04-15 21:55:00,1,150000,991,3,1,4,2.55,Tidur
G14706,2021-02-05 09:31:00,2021-02-05 09:31:00,1,250000,1425,2,1,4,2.15,Tidur
G14707,2021-02-05 09:47:00,2021-02-05 09:47:00,1,200000,1425,2,1,4,2.15,Tidur
G14708,2021-02-05 09:56:00,2021-02-05 09:56:00,1,50000,1425,2,1,2,1.65,Hilang
G14709,2021-02-05 10:38:00,2021-02-05 10:38:00,1,100000,1425,2,1,3,1.9,Tidur
G14711,2021-03-24 10:13:00,2021-02-05 10:54:00,2,400000,1378,2,4,5,3.45,Tidur
G14714,2021-05-05 22:30:00,2021-02-05 14:22:00,2,450000,1336,2,4,5,3.45,Tidur
G14716,2021-03-29 08:17:00,2021-02-05 15:27:00,2,575000,1373,2,4,5,3.45,Tidur
G14717,2021-07-05 14:45:00,2021-07-05 14:45:00,1,300000,1275,2,1,5,2.4,Tidur
G14719,2024-12-27 20:36:00,2021-02-05 18:06:00,7,260000,4,5,5,5,5.0,Mulai Aktif
G14720,2021-02-05 19:04:00,2021-02-05 19:04:00,1,50000,1425,2,1,2,1.65,Hilang
G14721,2021-02-05 19:19:00,2021-02-05 19:19:00,1,100000,1425,2,1,3,1.9,Tidur
G14722,2021-02-05 20:17:00,2021-02-05 20:17:00,1,100000,1425,2,1,3,1.9,Tidur
G14725,2021-02-06 16:11:00,2021-02-06 16:11:00,1,150093,1424,2,1,4,2.15,Tidur
G14726,2021-02-06 19:13:00,2021-02-06 19:13:00,1,20000,1424,2,1,1,1.4,Hilang
G14728,2021-02-06 21:41:00,2021-02-06 21:41:00,1,120384,1424,2,1,4,2.15,Tidur
G14729,2023-04-18 15:43:00,2021-10-25 09:25:00,6,1450000,623,4,5,5,4.6,Tidur
G14731,2022-02-07 05:25:00,2021-02-07 21:36:00,15,460000,1058,3,5,5,4.2,Tidur
G14732,2022-08-31 23:02:00,2021-02-07 22:51:00,8,1200000,853,3,5,5,4.2,Tidur
G14735,2023-10-27 05:04:00,2021-02-08 07:54:00,11,345000,431,4,5,5,4.6,Tidur
G14737,2021-02-08 10:39:00,2021-02-08 10:39:00,1,200000,1422,2,1,4,2.15,Tidur
G14740,2022-12-24 06:12:00,2021-12-25 06:51:00,5,870000,738,3,5,5,4.2,Tidur
G14742,2021-03-11 11:48:00,2021-02-08 19:05:00,3,255000,1391,2,5,5,3.8,Tidur
G14747,2021-02-08 21:49:00,2021-02-08 21:46:00,2,200000,1422,2,4,4,3.2,Tidur
G14748,2021-02-09 05:25:00,2021-02-09 05:25:00,1,10000,1421,2,1,1,1.4,Hilang
G14750,2021-02-09 10:18:00,2021-02-09 10:18:00,1,100000,1421,2,1,3,1.9,Tidur
G14752,2021-02-09 16:17:00,2021-02-09 16:17:00,1,25000,1421,2,1,2,1.65,Hilang
G14754,2021-02-09 18:29:00,2021-02-09 18:29:00,1,100000,1421,2,1,3,1.9,Tidur
G14755,2021-02-09 19:27:00,2021-02-09 19:27:00,1,100000,1421,2,1,3,1.9,Tidur
G14756,2021-02-28 18:18:00,2021-02-09 21:13:00,2,100000,1402,2,4,3,2.95,Tidur
G14757,2021-02-10 05:34:00,2021-02-10 05:34:00,1,250000,1420,2,1,4,2.15,Tidur
G14758,2021-08-28 09:40:00,2021-03-12 09:17:00,2,150000,1221,2,4,4,3.2,Tidur
G14766,2021-02-10 20:41:00,2021-02-10 20:41:00,1,10000,1420,2,1,1,1.4,Hilang
G14767,2021-02-10 21:33:00,2021-02-10 21:33:00,1,50000,1420,2,1,2,1.65,Hilang
G14768,2021-02-11 09:36:00,2021-02-11 09:36:00,1,200000,1419,2,1,4,2.15,Tidur
G14770,2021-04-14 08:20:00,2021-02-11 18:13:00,8,120000,1357,2,5,4,3.55,Tidur
G14771,2021-02-14 05:11:00,2021-02-12 04:18:00,2,40000,1416,2,4,2,2.7,Kategori Lain
G14773,2021-02-12 08:52:00,2021-02-12 08:52:00,1,200000,1418,2,1,4,2.15,Tidur
G14775,2022-02-17 20:51:00,2021-02-12 11:10:00,4,220000,1048,3,5,4,3.95,Tidur
G14776,2022-10-14 11:51:00,2021-02-12 11:57:00,3,400555,809,3,5,5,4.2,Tidur
G14777,2021-02-12 11:57:00,2021-02-12 11:57:00,1,100000,1418,2,1,3,1.9,Tidur
G14780,2021-02-12 13:02:00,2021-02-12 13:02:00,1,150000,1418,2,1,4,2.15,Tidur
G14781,2021-02-12 13:03:00,2021-02-12 13:03:00,1,50000,1418,2,1,2,1.65,Hilang
G14783,2021-02-12 15:03:00,2021-02-12 14:15:00,3,600000,1418,2,5,5,3.8,Tidur
G14784,2021-02-12 15:09:00,2021-02-12 15:09:00,1,50000,1418,2,1,2,1.65,Hilang
G14785,2021-02-12 18:30:00,2021-02-12 18:30:00,1,200000,1418,2,1,4,2.15,Tidur
G14790,2022-07-29 11:27:00,2022-07-29 11:27:00,1,150000,886,3,1,4,2.55,Tidur
G14791,2021-02-14 05:56:00,2021-02-14 05:56:00,1,200000,1416,2,1,4,2.15,Tidur
G14792,2021-02-14 06:13:00,2021-02-14 06:13:00,1,10000,1416,2,1,1,1.4,Hilang
G14793,2021-02-14 22:36:00,2021-02-14 22:36:00,1,5000,1416,2,1,1,1.4,Hilang
G14795,2021-03-25 20:25:00,2021-02-15 12:38:00,2,500000,1377,2,4,5,3.45,Tidur
G14796,2021-02-15 16:03:00,2021-02-15 16:03:00,1,100000,1415,2,1,3,1.9,Tidur
G14798,2021-02-16 22:07:00,2021-02-16 22:07:00,1,100000,1414,2,1,3,1.9,Tidur
G14801,2021-02-18 22:21:00,2021-02-17 01:05:00,3,40000,1412,2,5,2,3.05,Kategori Lain
G14802,2021-02-17 05:53:00,2021-02-17 05:53:00,1,50000,1413,2,1,2,1.65,Hilang
G14807,2021-05-02 05:13:00,2021-05-02 05:13:00,1,250000,1339,2,1,4,2.15,Tidur
G14809,2021-02-18 09:59:00,2021-02-18 09:59:00,1,100000,1412,2,1,3,1.9,Tidur
G14810,2021-02-18 10:12:00,2021-02-18 10:12:00,1,50000,1412,2,1,2,1.65,Hilang
G14813,2021-02-18 11:42:00,2021-02-18 11:42:00,1,50000,1412,2,1,2,1.65,Hilang
G14816,2021-02-18 14:15:00,2021-02-18 14:15:00,1,100000,1412,2,1,3,1.9,Tidur
G14817,2021-02-18 15:00:00,2021-02-18 15:00:00,1,200000,1412,2,1,4,2.15,Tidur
G14819,2022-07-29 14:52:00,2022-07-29 14:52:00,1,300000,886,3,1,5,2.8,Tidur
G14824,2021-02-18 20:39:00,2021-02-18 20:39:00,1,200457,1412,2,1,4,2.15,Tidur
G14825,2023-03-01 17:03:00,2021-02-18 21:47:00,4,234000,671,4,5,4,4.35,Tidur
G14827,2021-05-07 12:27:00,2021-02-19 08:18:00,2,400000,1334,2,4,5,3.45,Tidur
G14828,2021-02-19 10:39:00,2021-02-19 10:39:00,1,50000,1411,2,1,2,1.65,Hilang
G14829,2021-11-17 08:17:00,2021-10-20 11:00:00,2,725000,1140,2,4,5,3.45,Tidur
G14834,2022-10-29 07:13:00,2021-02-19 14:11:00,2,200000,794,3,4,4,3.6,Tidur
G14835,2022-04-08 13:13:00,2021-02-21 06:16:00,2,80886,998,3,4,3,3.35,Kategori Lain
G14837,2021-02-19 14:40:00,2021-02-19 14:40:00,1,10000,1411,2,1,1,1.4,Hilang
G14838,2024-08-23 09:51:00,2021-08-31 15:23:00,3,650000,130,5,5,5,5.0,Tidur
G14839,2021-05-12 14:31:00,2021-02-19 16:06:00,2,75000,1329,2,4,3,2.95,Kategori Lain
G14840,2021-02-19 19:50:00,2021-02-19 19:50:00,1,125000,1411,2,1,4,2.15,Tidur
G14841,2021-02-19 21:38:00,2021-02-19 21:38:00,1,10000,1411,2,1,1,1.4,Hilang
G14843,2021-02-19 23:15:00,2021-02-19 23:15:00,1,150000,1411,2,1,4,2.15,Tidur
G14844,2021-02-20 18:46:00,2021-02-20 18:46:00,1,450000,1410,2,1,5,2.4,Tidur
G14846,2021-02-20 20:52:00,2021-02-20 20:52:00,1,10000,1410,2,1,1,1.4,Hilang
G14848,2021-02-21 05:23:00,2021-02-21 05:23:00,1,200000,1409,2,1,4,2.15,Tidur
G14849,2023-02-28 13:34:00,2021-02-21 05:42:00,2,63000,672,4,4,3,3.75,Kategori Lain
G14850,2021-02-21 09:43:00,2021-02-21 09:43:00,1,400000,1409,2,1,5,2.4,Tidur
G14851,2021-02-21 11:02:00,2021-02-21 11:02:00,1,200000,1409,2,1,4,2.15,Tidur
